<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230413;000000;219.41;220.89;218;219.85;32580550
SBER;D;230414;000000;219.99;222.5;218.51;221.87;43248810
SBER;D;230417;000000;222.97;228.2;222.91;228.1;78562510
SBER;D;230418;000000;227.89;232.76;227.05;232.66;97459980
SBER;D;230419;000000;232.67;237.37;231.1;232.95;115494020
SBER;D;230420;000000;233.32;236.47;229.84;236.28;85046740
SBER;D;230421;000000;237.4;238.85;233.52;235.17;115606560
SBER;D;230424;000000;235.09;236.4;234.1;235.1;30405040
SBER;D;230425;000000;235.16;235.82;234.21;235.3;32063750
SBER;D;230426;000000;235.55;235.95;234.91;235.21;24351620
SBER;D;230427;000000;235.51;240.74;235.13;240.38;68224840
SBER;D;230428;000000;240.86;241.58;237.66;240.38;49494960
SBER;D;230502;000000;242.2;245;237.4;242.62;83246880
SBER;D;230503;000000;242.85;242.99;234;235.77;76740930
SBER;D;230504;000000;236.51;239.74;236.05;238.89;53006840
SBER;D;230505;000000;239.19;240.66;237.3;237.7;61314710
SBER;D;230508;000000;238.65;239.86;237.36;238.27;47676110
SBER;D;230510;000000;216.51;227.5;215.7;227.06;154134860
SBER;D;230511;000000;228.57;235.38;223.94;229.32;197037380
SBER;D;230512;000000;231.05;232.47;226.15;229.29;69831820
SBER;D;230515;000000;230.54;231.75;228.52;231.7;48873370
SBER;D;230516;000000;232.4;232.86;229.57;230.62;36429340
SBER;D;230517;000000;229.86;230.97;228.75;230.55;31635370
SBER;D;230518;000000;231.72;234.49;230.72;231.7;55909060
SBER;D;230519;000000;230.98;232.3;229.81;231.27;31540330
SBER;D;230522;000000;232.2;232.78;230;231;26351890
SBER;D;230523;000000;231.24;237.29;230.21;236.43;62996030
SBER;D;230524;000000;237.49;246.13;236.26;246.06;85850770
SBER;D;230525;000000;246.11;247.4;242.65;243.76;70582820
SBER;D;230526;000000;243.49;249.64;242.81;248.1;69113640
SBER;D;230529;000000;249.77;252.59;248.85;251.18;67591330
SBER;D;230530;000000;248.84;250.85;243.8;244.65;82871290
SBER;D;230531;000000;244;247.18;240.27;246.17;72797140
SBER;D;230601;000000;247;247;240.57;241.66;51897410
SBER;D;230602;000000;242.01;245.5;240.77;243.95;46465000
SBER;D;230605;000000;243.51;244.15;235.1;237.12;78650640
SBER;D;230606;000000;236;242.1;232.54;240.91;100337100
